Sample Position,Test Index,SMILES,Total Atoms,Heavy Atoms
1,674,CC1=C(N)C=NO1,13,7
2,16045,CC#CC1CC(C)C1O,21,9
3,8023,C1OC11C2C3CN2C13,15,8
4,25709,C1NC2C3COCC12O3,18,9
5,13606,O=C1CC2(CC1O2)C#C,15,9
6,16208,CC1N2CC2(C#C)C1=O,16,9
7,8482,O=CC1OCC11CCO1,17,9
8,19388,CC12COCC1(C)C2O,21,9
9,3142,CNC(=O)CC1CN1,18,8
10,7256,CC12C3C(CN13)OC2=O,16,9
11,15568,COC12C(C)C1CC2C,23,9
12,14171,CC1C2CC2(C)C1=NO,20,9
13,11227,NC(C#C)(C#N)C1CO1,15,9
14,1113,CCCC1=NC=NN=N1,17,9
15,11591,O=CC1=CC(=O)C(=O)C1,13,9
16,9904,OC12C=CC3OC1C2O3,15,9
17,20385,CCC(COC=N)=NO,19,9
18,7841,N#CC12OCC(O1)C=C2,14,9
19,23036,NC(=O)C(=O)C(O)CO,16,9
20,6126,CC1=NCC(O1)C(N)=O,17,9
