mol_idx,smiles,n_atoms,k_requested,n_partitions,score,adjusted_score,connectivity_penalty,within_frac,between_frac,higher_frac,prediction,atom_baseline,validation_passed,validation_error,strategy,method,contribution_setting,is_greedy_random,is_greedy_distance,is_metropolis_hastings,is_greedy,is_optimized
0,CC1=C(N)C=NO1,13,2,2,0.9990012639540917,0.9990012639540917,0.0,0.998002527908157,0.0019974720917639703,0.0,-1261.5773353406917,0.0,True,5.406890304869291e-16,Distance (k=2),Distance,with_single_atom_contributions,False,False,False,False,False
1,CC#CC1CC(C)C1O,21,2,2,0.9997214597417187,0.9997214597417187,0.0,0.9994429194834209,0.0005570805165296132,0.0,-2019.579175708967,0.0,True,2.2516936020931387e-16,Distance (k=2),Distance,with_single_atom_contributions,False,False,False,False,False
2,C1OC11C2C3CN2C13,15,2,2,0.9851868493788455,0.9851868493788455,0.0,0.9703736987576689,0.029626301242265406,0.0,-1432.333978567099,0.0,True,1.587434766231545e-16,Distance (k=2),Distance,with_single_atom_contributions,False,False,False,False,False
3,C1NC2C3COCC12O3,18,2,2,0.9985564464379428,0.9985564464379428,0.0,0.9971128928758662,0.0028871071240755813,0.0,-1709.9491432050593,0.0,True,9.307971143043888e-16,Distance (k=2),Distance,with_single_atom_contributions,False,False,False,False,False
4,O=C1CC2(CC1O2)C#C,15,2,2,0.9963622744699442,0.9963622744699442,0.0,0.9927245489398677,0.007275451060070017,0.0,-1585.2289793332293,0.0,True,5.737308071136939e-16,Distance (k=2),Distance,with_single_atom_contributions,False,False,False,False,False
5,CC1N2CC2(C#C)C1=O,16,2,2,0.9994698297471437,0.9994698297471437,0.0,0.9989396594942669,0.0010603405056720573,0.0,-1638.6151914305615,0.0,True,6.937982652434522e-16,Distance (k=2),Distance,with_single_atom_contributions,False,False,False,False,False
6,O=CC1OCC11CCO1,17,2,2,0.997403344882362,0.997403344882362,0.0,0.994806689764704,0.005193310235236118,0.0,-1653.7687905893724,0.0,True,8.249291318244791e-16,Distance (k=2),Distance,with_single_atom_contributions,False,False,False,False,False
7,CC12COCC1(C)C2O,21,2,2,0.9998549189152355,0.9998549189152355,0.0,0.999709837830454,0.00029016216949550395,0.0,-1980.9096562034208,0.0,True,5.739122799749517e-16,Distance (k=2),Distance,with_single_atom_contributions,False,False,False,False,False
8,CNC(=O)CC1CN1,18,2,2,0.9991132573353053,0.9991132573353053,0.0,0.9982265146705905,0.0017734853293496888,0.0,-1669.6283676037929,0.0,True,1.3618220668443674e-16,Distance (k=2),Distance,with_single_atom_contributions,False,False,False,False,False
9,CC12C3C(CN13)OC2=O,16,2,2,0.999665517951089,0.999665517951089,0.0,0.9993310359021578,0.000668964097780526,0.0,-1618.1339928096172,0.0,True,1.5456757233884204e-15,Distance (k=2),Distance,with_single_atom_contributions,False,False,False,False,False
